Diagnosis Year,Cancer type,Gender,Stage,Age At Diagnosis,Years Since Diagnosis,Patients,Survival (%)
2015-2019,Bladder,Male,All stages combined,All ages,2,5877,62.1
2015-2019,Bladder,Male,All stages combined,All ages,2,5877,65.7
2015-2019,Bladder,Male,All stages combined,55-64,3,701,70.7
2015-2019,Bladder,Male,All stages combined,65-74,3,1829,61.6
2015-2019,Bladder,Male,All stages combined,75-99,3,3045,48.6
2015-2019,Bladder,Male,All stages combined,All ages,3,5877,56.4
2015-2019,Bladder,Male,All stages combined,All ages,3,5877,61
2015-2019,Bladder,Male,All stages combined,55-64,4,701,69.4
2015-2019,Bladder,Male,All stages combined,65-74,4,1829,58.8
2015-2019,Bladder,Male,All stages combined,75-99,4,3045,45.1
2015-2019,Bladder,Male,All stages combined,All ages,4,5877,53.3
2015-2019,Bladder,Male,All stages combined,All ages,4,5877,57.8
2015-2019,Bladder,Male,All stages combined,55-64,5,701,66.6
2015-2019,Bladder,Male,All stages combined,65-74,5,1829,56.3
2015-2019,Bladder,Male,All stages combined,75-99,5,3045,41.6
2015-2019,Bladder,Male,All stages combined,All ages,5,5877,50.4
2015-2019,Bladder,Male,All stages combined,15-44,1,44,81.9
2015-2019,Bladder,Male,All stages combined,45-54,1,238,83.8
2015-2019,Bladder,Male,All stages combined,55-64,1,675,82.2
2015-2019,Bladder,Male,All stages combined,65-74,1,1970,80.3
2015-2019,Bladder,Male,All stages combined,75-99,1,3570,67
2015-2019,Bladder,Male,All stages combined,All ages,1,6497,73.3
2015-2019,Bladder,Male,All stages combined,All ages,1,6497,77.1
2015-2019,Bladder,Male,All stages combined,15-44,2,44,72
2015-2019,Bladder,Male,All stages combined,45-54,2,238,72.8
2015-2019,Bladder,Male,All stages combined,55-64,2,675,73.2
2015-2019,Bladder,Male,All stages combined,65-74,2,1970,69.7
2015-2019,Bladder,Male,All stages combined,75-99,2,3570,55.9
2015-2019,Bladder,Male,All stages combined,All ages,2,6497,62.6
2015-2019,Bladder,Male,All stages combined,All ages,2,6497,66.6
2015-2019,Bladder,Male,All stages combined,55-64,3,675,68.2
2015-2019,Bladder,Male,All stages combined,65-74,3,1970,64.2
2015-2019,Bladder,Male,All stages combined,75-99,3,3570,50.1
2015-2019,Bladder,Male,All stages combined,All ages,3,6497,57.1
2015-2019,Bladder,Male,All stages combined,All ages,3,6497,61.5
2015-2019,Bladder,Male,All stages combined,55-64,4,675,66.8
2015-2019,Bladder,Male,All stages combined,65-74,4,1970,62.4
2015-2019,Bladder,Male,All stages combined,75-99,4,3570,45.7
2015-2019,Bladder,Male,All stages combined,All ages,4,6497,53.8
2015-2019,Bladder,Male,All stages combined,All ages,4,6497,58.6
2015-2019,Bladder,Male,All stages combined,55-64,5,675,64.4
2015-2019,Bladder,Male,All stages combined,65-74,5,1970,58.6
2015-2019,Bladder,Male,All stages combined,75-99,5,3570,41.6
2015-2019,Bladder,Male,All stages combined,All ages,5,6497,50.1
2015-2019,Bladder,Male,All stages combined,15-44,1,41,95.2
2015-2019,Bladder,Male,All stages combined,45-54,1,179,84
2015-2019,Bladder,Male,All stages combined,55-64,1,697,87
2015-2019,Bladder,Male,All stages combined,65-74,1,2100,82.4
2015-2019,Bladder,Male,All stages combined,75-99,1,3954,69.2
2015-2019,Bladder,Male,All stages combined,All ages,1,6971,75.5
2015-2019,Bladder,Male,All stages combined,All ages,1,6971,80.3
2015-2019,Bladder,Male,All stages combined,15-44,2,41,86.4
2015-2019,Bladder,Male,All stages combined,45-54,2,179,76.4
2015-2019,Bladder,Male,All stages combined,55-64,2,697,76.5
2015-2019,Bladder,Male,All stages combined,65-74,2,2100,72.6
2015-2019,Bladder,Male,All stages combined,75-99,2,3954,57.1
2015-2019,Bladder,Male,All stages combined,All ages,2,6971,64.4
2015-2019,Bladder,Male,All stages combined,All ages,2,6971,69.8
2015-2019,Bladder,Male,All stages combined,55-64,3,697,73.1
2015-2019,Bladder,Male,All stages combined,65-74,3,2100,67.3
2015-2019,Bladder,Male,All stages combined,75-99,3,3954,51.5
2015-2019,Bladder,Male,All stages combined,All ages,3,6971,59.1
2015-2019,Bladder,Male,All stages combined,All ages,3,6971,64.3
2015-2019,Bladder,Male,All stages combined,55-64,4,697,69
2015-2019,Bladder,Male,All stages combined,65-74,4,2100,64.4
2015-2019,Bladder,Male,All stages combined,75-99,4,3954,48
2015-2019,Bladder,Male,All stages combined,All ages,4,6971,55.8
2015-2019,Bladder,Male,All stages combined,All ages,4,6971,61.1
2015-2019,Bladder,Male,All stages combined,55-64,5,697,66.2
2015-2019,Bladder,Male,All stages combined,65-74,5,2100,60
2015-2019,Bladder,Male,All stages combined,75-99,5,3954,46.4
2015-2019,Bladder,Male,All stages combined,All ages,5,6971,53.2
2015-2019,Bladder,Male,All stages combined,15-44,1,38,84.3
2015-2019,Bladder,Male,All stages combined,45-54,1,184,88
2015-2019,Bladder,Male,All stages combined,55-64,1,613,86.2
2015-2019,Bladder,Male,All stages combined,65-74,1,1880,83.4
2015-2019,Bladder,Male,All stages combined,75-99,1,3989,68.9
2015-2019,Bladder,Male,All stages combined,All ages,1,6704,75.1
2015-2019,Bladder,Male,All stages combined,All ages,1,6704,80.1
2015-2019,Bladder,Male,All stages combined,15-44,2,38,70.8
2015-2019,Bladder,Male,All stages combined,45-54,2,184,78.1
2015-2019,Bladder,Male,All stages combined,55-64,2,613,78.4
2015-2019,Bladder,Male,All stages combined,65-74,2,1880,75.9
2015-2019,Bladder,Male,All stages combined,75-99,2,3989,56.1
2015-2019,Bladder,Male,All stages combined,All ages,2,6704,64.4
2015-2019,Bladder,Male,All stages combined,All ages,2,6704,70
2015-2019,Bladder,Male,All stages combined,55-64,3,613,73.1
2015-2019,Bladder,Male,All stages combined,65-74,3,1880,69.5
2015-2019,Bladder,Male,All stages combined,75-99,3,3989,49.1
2015-2019,Bladder,Male,All stages combined,All ages,3,6704,57.8
2015-2019,Bladder,Male,All stages combined,All ages,3,6704,63.9
2015-2019,Bladder,Male,All stages combined,55-64,4,613,70.4
2015-2019,Bladder,Male,All stages combined,65-74,4,1880,66.5
2015-2019,Bladder,Male,All stages combined,75-99,4,3989,45.8
2015-2019,Bladder,Male,All stages combined,All ages,4,6704,54.6
2015-2019,Bladder,Male,All stages combined,All ages,4,6704,60.4
2015-2019,Bladder,Male,All stages combined,55-64,5,613,66.5
2015-2019,Bladder,Male,All stages combined,65-74,5,1880,65.4
2015-2019,Bladder,Male,All stages combined,75-99,5,3989,44
2015-2019,Bladder,Male,All stages combined,All ages,5,6704,52.7
2015-2019,Bladder,Male,All stages combined,All ages,5,6704,58.1
2015-2019,Bladder,Male,1,15-44,1,104,98.2
2015-2019,Bladder,Male,1,45-54,1,478,97.4
2015-2019,Bladder,Male,1,55-64,1,1596,98.2
2015-2019,Bladder,Male,1,65-74,1,4249,96.4
2015-2019,Bladder,Male,1,75-99,1,6803,92.4
2015-2019,Bladder,Male,1,All ages,1,13230,94.6
2015-2019,Bladder,Male,1,All ages,1,13230,95.9
2015-2019,Bladder,Male,1,15-44,2,104,95.3
2015-2019,Bladder,Male,1,45-54,2,478,93.2
2015-2019,Bladder,Male,1,55-64,2,1596,94.9
2015-2019,Bladder,Male,1,65-74,2,4249,91.9
2015-2019,Bladder,Male,1,75-99,2,6803,85.2
2015-2019,Bladder,Male,1,All ages,2,13230,88.9
2015-2019,Bladder,Male,1,All ages,2,13230,90.9
2015-2019,Bladder,Male,1,55-64,3,1596,92.5
2015-2019,Bladder,Male,1,65-74,3,4249,87.3
2015-2019,Bladder,Male,1,75-99,3,6803,79.1
2015-2019,Bladder,Male,1,All ages,3,13230,83.9
2015-2019,Bladder,Male,1,All ages,3,13230,86.8
2015-2019,Bladder,Male,1,55-64,4,1596,90.9
2015-2019,Bladder,Male,1,65-74,4,4249,84.2
2015-2019,Bladder,Male,1,75-99,4,6803,74.2
2015-2019,Bladder,Male,1,All ages,4,13230,80
2015-2019,Bladder,Male,1,All ages,4,13230,83.3
2015-2019,Bladder,Male,1,55-64,5,1596,88
2015-2019,Bladder,Male,1,65-74,5,4249,81.3
2015-2019,Bladder,Male,1,75-99,5,6803,70.6
2015-2019,Bladder,Male,1,All ages,5,13230,76.8
2015-2019,Bladder,Male,1,All ages,5,13230,80.4
2015-2019,Bladder,Male,2,15-44,1,46,82.7
2015-2019,Bladder,Male,2,45-54,1,255,87
2015-2019,Bladder,Male,2,55-64,1,822,84.6
2015-2019,Bladder,Male,2,65-74,1,2119,80.1
2015-2019,Bladder,Male,2,75-99,1,4061,65.9
2015-2019,Bladder,Male,2,All ages,1,7303,73
2015-2019,Bladder,Male,2,All ages,1,7303,77.6
2015-2019,Bladder,Male,2,15-44,2,46,70.8
2015-2019,Bladder,Male,2,45-54,2,255,71.1
2015-2019,Bladder,Male,2,55-64,2,822,69.3
2015-2019,Bladder,Male,2,65-74,2,2119,66.3
2015-2019,Bladder,Male,2,75-99,2,4061,48
2015-2019,Bladder,Male,2,All ages,2,7303,56.7
2015-2019,Bladder,Male,2,All ages,2,7303,61.8
2015-2019,Bladder,Male,2,55-64,3,822,61.6
